"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000069812.11",2819.58584024833,2.30128982255442,0.278918689817154,8.25075517192139,1.57396712264847e-16,2.8920112793806e-14
"ENSG00000007968.6",3694.86095319631,-2.62511491293,0.391398121817808,-6.70701969835195,1.98639457606165e-11,1.64348014398364e-09
"ENSG00000158055.15",1607.86806554276,2.92067441364141,0.436190428182083,6.69587002588282,2.14392216373168e-11,1.75330698106796e-09
"ENSG00000117632.22",23060.3966381744,-1.62404140702546,0.175256104974411,-9.26667523087188,1.92038679328748e-20,6.62673959791008e-18
"ENSG00000092853.13",4393.4754842096,-2.26377990548045,0.300664147214736,-7.52926455133225,5.10269065658186e-14,6.62319884489176e-12
"ENSG00000134690.10",5257.42823901106,-2.85183888367901,0.580481768231446,-4.91288278074212,8.97469377910182e-07,2.82164372414961e-05
"ENSG00000117399.13",9786.72133032526,-3.03415448907844,0.522956249238117,-5.80192796911563,6.55567248486761e-09,3.26583289844743e-07
"ENSG00000142945.12",9403.46805095063,-2.79169044486391,0.530161303917025,-5.26573785042002,1.39627411357353e-07,5.32465934200493e-06
"ENSG00000197587.10",1618.86099488412,-2.13623012379403,0.41498780304306,-5.14769375901963,2.63708553786894e-07,9.32737154744243e-06
"ENSG00000123473.15",5564.93677456798,-2.14235454111941,0.324734355648817,-6.5972525045556,4.18847072241241e-11,3.20316128544274e-09
"ENSG00000085840.12",4895.08368950446,-2.15839953917419,0.579238049613972,-3.72627374982123,0.000194331345682227,0.00314576645161574
"ENSG00000024526.16",5573.24069591669,-2.66372174700917,0.524595931329783,-5.07766375590634,3.82104138460375e-07,1.32825782578314e-05
"ENSG00000263513.5",1745.00861111977,-2.54390377460692,0.567976083980047,-4.47889241529453,7.5031335162672e-06,0.000185909514865409
"ENSG00000203814.6",58664.4016890917,-2.19407478179843,0.25377795004601,-8.64564782480369,5.35008867743813e-18,1.2014770572761e-15
"ENSG00000270882.2",56053.0016538681,-1.60732588507584,0.215739874639933,-7.45029581461676,9.31311739249904e-14,1.1166269904159e-11
"ENSG00000203811.1",35903.710088632,-2.64423628188234,0.356785191893948,-7.41128371344605,1.25082665886652e-13,1.46253682393749e-11
"ENSG00000203812.2",78040.6647609385,-1.6764897551273,0.191647130507716,-8.74779471357543,2.17562590928959e-18,5.40013252011037e-16
"ENSG00000184678.10",40356.9097439708,-1.98594791745475,0.228784634631768,-8.68042524206735,3.94291822604566e-18,9.17308035926757e-16
"ENSG00000184270.4",14627.7603132988,-1.98800637044292,0.219667403006264,-9.05007453648566,1.42870782739075e-19,4.39420833520094e-17
"ENSG00000183856.10",16119.7341357582,-2.71526684093093,0.42027471965712,-6.46069514518069,1.0422309422369e-10,7.56178634398338e-09
"ENSG00000235750.9",1579.7473392983,-1.57072473285235,0.436967469849328,-3.59460335432739,0.00032488615632652,0.00494246165559958
"ENSG00000066279.17",58606.7996505036,-1.82445209970469,0.246962179946403,-7.38757691603082,1.49528637626743e-13,1.71994403670176e-11
"ENSG00000118193.11",8691.15792009183,-3.16514256390437,0.486431358127147,-6.5068637352879,7.67359585809354e-11,5.71400180001618e-09
"ENSG00000077152.9",4063.00627075518,-1.50476144195783,0.318097166807137,-4.73050878466381,2.23957834808549e-06,6.31186343998276e-05
"ENSG00000159388.5",14074.5831263164,2.1256078164236,0.158443181863085,13.4155840057567,4.90057351261979e-41,1.3866662811309e-37
"ENSG00000196550.10",2024.89428659541,-2.89202103223076,0.541890284865153,-5.33691249502734,9.4542637987136e-08,3.78920465224363e-06
"ENSG00000117650.12",5812.80992398041,-3.35336552765088,0.622043595067154,-5.39088506696844,7.01115074551648e-08,2.9260696385713e-06
"ENSG00000143476.17",7591.69753243477,-2.43879007844461,0.42743275454125,-5.70566961126339,1.1588659293858e-08,5.55784243015266e-07
"ENSG00000117724.12",48292.4346743737,-3.03325097781701,0.458740427443099,-6.61212920501377,3.78831119289575e-11,2.96116169928669e-09
"ENSG00000196890.4",4341.63751833532,-2.07051021764702,0.397659972461281,-5.20673530411368,1.92191939134198e-07,6.95436849895382e-06
"ENSG00000119283.15",961.742651618281,-1.67610713803636,0.486311023573053,-3.44657442827755,0.000567742153723428,0.00782124244486763
"ENSG00000174371.16",5248.51378653526,-2.12669253159372,0.34055460674503,-6.24479155316771,4.24365664442632e-10,2.70447091015061e-08
"ENSG00000065328.16",5971.69225186501,-2.46879126638177,0.28066580675562,-8.79619535746078,1.41533101675367e-18,3.57573271875552e-16
"ENSG00000122952.16",8872.75848972301,-2.39573792428498,0.472668875502877,-5.06853327656943,4.00892902686454e-07,1.38337385053852e-05
"ENSG00000170312.15",12191.1546247022,-2.56548491100184,0.434801676738031,-5.90035652633316,3.62716916227898e-09,1.95122392805791e-07
"ENSG00000227268.3",2628.58962932997,1.52264561928016,0.359273312094827,4.23812615081821,2.25393118007731e-05,0.000497482345331261
"ENSG00000107796.13",21605.9197782695,2.04031067938706,0.159620745375699,12.7822400188947,2.06048394751058e-37,3.64396586117246e-34
"ENSG00000026103.21",9132.57968576741,1.96081793534235,0.219221793151338,8.94444802752214,3.73813223464167e-19,1.07932846644307e-16
"ENSG00000138182.14",11733.870984217,-1.52384615201243,0.23156558414876,-6.58062448102604,4.68476420552134e-11,3.56344322471591e-09
"ENSG00000138160.5",23174.5804197349,-2.59305642430775,0.371457839259787,-6.98075568811522,2.93596493320588e-12,2.84507067636964e-10
"ENSG00000138180.15",7446.63392502477,-2.99780326254905,0.228245305287636,-13.1341289091191,2.09892823828651e-39,4.94927278587958e-36
"ENSG00000095585.16",755.763520404608,1.83052356885309,0.60969771806287,3.00234610467138,0.00267907393175759,0.0266550900045755
"ENSG00000148773.13",96542.9685933299,-3.09640679352137,0.418333234707456,-7.40177097257577,1.34380125695963e-13,1.55836886749712e-11
"ENSG00000130649.9",1338.26961855818,1.50960879560268,0.520042753500684,2.90285516996573,0.00369777599805461,0.0339900062775207
"ENSG00000132274.15",5824.71271545804,2.33013990480397,0.332619952481482,7.00541229538447,2.46259559441238e-12,2.41950017151016e-10
"ENSG00000129173.12",2700.97987879396,-3.56420246973985,0.453281273319791,-7.86311431671543,3.74698765389204e-15,5.63961503481538e-13
"ENSG00000121621.6",11061.1473422103,-1.95238767651243,0.238215019860337,-8.19590501747997,2.48714679004528e-16,4.45419655513426e-14
"ENSG00000149503.12",23162.409207415,-1.71318587498604,0.174465851475714,-9.81960573083562,9.27054090460804e-23,4.6842718827998e-20
"ENSG00000146670.9",6978.04719263875,-2.6654232728503,0.293960357883181,-9.06728816104357,1.22015898180741e-19,3.83617983880251e-17
"ENSG00000165490.12",1886.0183452115,-2.96242064372327,0.525351317226779,-5.63893255157574,1.71107536720732e-08,7.9371456705735e-07
"ENSG00000160588.9",863.81333465115,1.79056363768558,0.639526083351483,2.79982894255383,0.00511296930332384,0.043135533514267
"ENSG00000188486.3",21985.5438792088,-1.58562477404879,0.156863511537879,-10.1083085448198,5.07529236953203e-24,2.99188485183913e-21
"ENSG00000154146.12",623.294553399902,-2.13625856977564,0.717654799847901,-2.97672163584553,0.00291348408981715,0.0283949522806769
"ENSG00000111206.12",16061.3036789217,-2.20960744138969,0.341148291675279,-6.47697055887033,9.35824436379481e-11,6.86012649010202e-09
"ENSG00000111247.14",2033.9409648685,-2.21563836030623,0.435037938080633,-5.09297733912937,3.52483842647918e-07,1.22831069107949e-05
"ENSG00000111665.11",5595.33783369745,-2.54534962705929,0.338628909306928,-7.51663415940729,5.62044035617041e-14,7.16378289721613e-12
"ENSG00000166523.7",919.730021215412,1.56066945599062,0.54460180644591,2.86570745362672,0.00416078553298579,0.0370464403528527
"ENSG00000135451.12",5819.89099164003,-3.04681978477293,0.547889900483988,-5.56100738867694,2.68221839967658e-08,1.19333414838441e-06
"ENSG00000161800.12",20244.325993924,-1.73262602309987,0.332766412077554,-5.20673349297065,1.92193814185111e-07,6.95436849895382e-06
"ENSG00000135476.11",9532.03437136227,-3.37692411777567,0.691770142472795,-4.8815696290455,1.05244748764582e-06,3.23918284918834e-05
"ENSG00000166881.9",13011.6320398166,-1.62306552934107,0.22939294739976,-7.07548138571401,1.48930852307053e-12,1.5268649988697e-10
"ENSG00000135679.22",175911.193634851,1.62032962355643,0.0785468885698583,20.6288199705751,1.51297106689509e-94,1.07027573272158e-90
"ENSG00000165891.15",3535.7732467027,-2.11180094962794,0.379027821054192,-5.5716251745172,2.5237393725507e-08,1.13060119303706e-06
"ENSG00000185480.11",3764.42854536913,-1.9981932892945,0.379773927901686,-5.26153361905291,1.42858760644925e-07,5.40418648557326e-06
"ENSG00000122966.15",30431.8210498597,-3.05639308812503,0.449826012934657,-6.79461169483102,1.08604646858004e-11,9.42661683280389e-10
"ENSG00000165480.15",1788.86173431306,-2.2576474953582,0.437082358105395,-5.16526794891549,2.40094726868756e-07,8.55632291118177e-06
"ENSG00000139618.14",5326.69387467614,-1.73068218712871,0.33457020766664,-5.17285205756616,2.30547552091391e-07,8.25768801769365e-06
"ENSG00000133119.12",4543.50160039524,-1.65264173753815,0.355798917653117,-4.64487567426886,3.40281312593103e-06,9.06647836265012e-05
"ENSG00000197168.11",1337.71905639066,1.52953076405006,0.411466488556701,3.71726691380188,0.000201389644142064,0.00324887193309228
"ENSG00000139734.17",6605.91102661963,-2.66585771114572,0.274169579076232,-9.72338988201345,2.39666941842181e-22,1.09380899780102e-19
"ENSG00000100479.12",2665.1586864784,-1.76000211514196,0.477581474884829,-3.68523949880258,0.000228487678957639,0.00361998172664353
"ENSG00000100526.19",5971.05457242655,-1.86744509886635,0.290456414639957,-6.42934707150879,1.28153216321762e-10,9.20361271330096e-09
"ENSG00000126787.12",9788.74493516729,-3.35896894063132,0.756196773126397,-4.4419244567047,8.91578640099917e-06,0.00021525690443914
"ENSG00000187951.10",11843.9313616843,-1.86453627166951,0.426535423431574,-4.37135152027678,1.23479808265306e-05,0.00028971680387024
"ENSG00000198826.10",18800.7137418881,-2.28139358545678,0.430125688226435,-5.30401612343546,1.13282300506409e-07,4.46439550853672e-06
"ENSG00000156970.12",8656.07834947495,-2.62072661470863,0.634684727514975,-4.12917863168024,3.64061477431683e-05,0.000755240730601679
"ENSG00000137812.19",9525.71443814585,-2.52462021947736,0.476186555518706,-5.30174611235573,1.14700283827008e-07,4.49523439220085e-06
"ENSG00000051180.16",1892.52094218823,-2.55692210234775,0.507821167064351,-5.03508374243042,4.77639978019845e-07,1.61666277727865e-05
"ENSG00000137804.12",17474.3317603693,-2.21181437411409,0.487915684169314,-4.53318974133768,5.80995809818597e-06,0.000146784441380598
"ENSG00000092470.11",5208.51569935765,-2.05745727658566,0.258543688248315,-7.95787083616445,1.75024921024314e-15,2.72115668423296e-13
"ENSG00000157456.7",17835.8605445281,-1.74290640716102,0.367440315363759,-4.74337282623868,2.10188916213885e-06,5.95942442203216e-05
"ENSG00000166803.11",8024.70415205047,-2.70576238030404,0.251821945351266,-10.7447441744197,6.27355995006731e-27,4.22658696064535e-24
"ENSG00000174442.11",6145.38022880106,-2.09546194031192,0.278152514143921,-7.5334999101525,4.93980466858664e-14,6.4711441158485e-12
"ENSG00000137807.13",20160.7937369747,-2.31490161541142,0.392212936819662,-5.90215517668098,3.58783453200891e-09,1.93743064728481e-07
"ENSG00000103723.12",753.702500239539,1.75851165782651,0.640856124581625,2.74400382609206,0.00606948305020681,0.0486246014690408
"ENSG00000140525.17",33183.3274537892,-1.98252225233448,0.343832282298015,-5.76595728325515,8.11956249696283e-09,3.98873507663299e-07
"ENSG00000140534.13",17581.7340301061,-1.55331296751664,0.181223903663601,-8.57123666423167,1.02379600990563e-17,2.19464635577953e-15
"ENSG00000197299.10",3851.31163015103,-2.85024568961817,0.607578182808438,-4.69115871877319,2.71662119528361e-06,7.46305954774225e-05
"ENSG00000198901.13",32931.9244379149,-2.35588034448171,0.397290355625658,-5.92987046154603,3.03173761113624e-09,1.64973168162906e-07
"ENSG00000206172.8",2907.88659173889,4.48846782043064,1.37897410107832,3.25493264661083,0.0011341926054887,0.0136682768164005
"ENSG00000162063.12",13722.9341903835,-2.19110678693155,0.38421047006069,-5.70288151331599,1.17798869199923e-08,5.63046757243414e-07
"ENSG00000127564.16",6676.05092647146,-1.76501892366777,0.212073786668868,-8.32266425469956,8.60078135410506e-17,1.62245139463838e-14
"ENSG00000175643.8",2893.83531319778,-2.00402599188873,0.334576519452555,-5.98973889491046,2.10178193137957e-09,1.17533639387977e-07
"ENSG00000166851.14",20262.7957397853,-2.61321679833749,0.547086015818284,-4.77661048314106,1.78274622968841e-06,5.21121769785777e-05
"ENSG00000079616.12",17406.4050855399,-1.61476302980475,0.334192489612379,-4.83183518479924,1.35280226717801e-06,4.04639460381277e-05
"ENSG00000171241.8",6279.91546007968,-3.19187872505353,0.54767084003306,-5.82809690006656,5.60630243821741e-09,2.85316427683093e-07
"ENSG00000102935.11",734.085698890234,1.87448521948144,0.635510806905917,2.9495725314376,0.00318213870255502,0.0303171032752514
"ENSG00000277639.2",2640.73019067575,1.67345036054365,0.368525673049924,4.54093291979945,5.60058503954515e-06,0.000142769508359432
"ENSG00000131153.8",5635.95667634081,-1.96567357899806,0.335458712696818,-5.85965874368152,4.63819321178543e-09,2.43041324297556e-07
"ENSG00000132517.14",1289.16603567295,2.69949592598422,0.59593729448624,4.52983216684142,5.90305598209274e-06,0.000148870652468179
"ENSG00000178999.12",8950.16455220337,-2.99991802986505,0.493079164229842,-6.08404947418682,1.17184418192276e-09,6.96607205287531e-08
"ENSG00000076382.16",17537.8997169513,-2.73955737367081,0.338991019603451,-8.08150427369883,6.39726855183334e-16,1.07748280323021e-13
"ENSG00000094804.9",7730.33873796784,-2.64648863552416,0.269356488589064,-9.8252269673804,8.76763067253852e-23,4.59423847241019e-20
"ENSG00000131747.14",97791.6593624268,-2.82497044687099,0.427869806223868,-6.60240663346299,4.04536055587271e-11,3.110530496983e-09
"ENSG00000012048.20",15047.7186156492,-2.03012599587693,0.323166095268908,-6.28198943390904,3.34267570775082e-10,2.19963608898877e-08
"ENSG00000161692.17",5583.27283377234,-1.66710051000892,0.324980625557385,-5.12984583973158,2.89979557461129e-07,1.02042348442117e-05
"ENSG00000186185.13",13886.4105246835,-3.484484470036,0.543610178706038,-6.40989555848671,1.4561935846725e-10,1.02498640974859e-08
"ENSG00000154920.14",5705.24320465661,-1.50684762780576,0.282549780177576,-5.33303415369405,9.658513646287e-08,3.86013138609233e-06
"ENSG00000005379.15",420.62949989955,2.13875235292954,0.771272378795159,2.773018212153,0.00555390123798117,0.0458172563935613
"ENSG00000068489.12",16733.7242755638,-2.99684776059443,0.556153974174751,-5.38852170397829,7.1039585028176e-08,2.93879546484981e-06
"ENSG00000136492.8",7278.78548759169,-1.65142292499133,0.264356377254521,-6.24695701364279,4.18526182068305e-10,2.69150382904654e-08
"ENSG00000182481.8",85225.4853586624,-1.5320105873124,0.241878407293621,-6.33380467671371,2.39188281709786e-10,1.63479990803384e-08
"ENSG00000161544.9",4124.46369944777,2.88104889379426,0.304197117824372,9.47099339533396,2.77194823272184e-21,1.03204009464602e-18
"ENSG00000214140.10",1264.75757030599,2.09172681621678,0.618478757545364,3.38205118720404,0.00071946737043599,0.00944250867989646
"ENSG00000167900.11",13346.3255817771,-2.4360432566695,0.373467514031555,-6.52277149991599,6.90199712608755e-11,5.17968312117253e-09
"ENSG00000089685.14",13192.8404648688,-3.04360211468028,0.534243492551937,-5.69703170391802,1.21911264291352e-08,5.78356201162732e-07
"ENSG00000182612.10",1090.54172032163,1.54881272448774,0.541549617727362,2.85996457903045,0.00423688328102284,0.0375350185722674
"ENSG00000080986.12",2439.50080499192,-2.97173134563627,0.437467772516034,-6.79302918371513,1.098031568452e-11,9.47253087223102e-10
"ENSG00000154839.9",2023.77164869825,-3.29464463873545,0.486903409333493,-6.76652612321072,1.3191123117477e-11,1.13107884767312e-09
"ENSG00000171791.12",1881.0980407623,-1.69339666230937,0.395087026865745,-4.2861358312451,1.81807848744456e-05,0.000410242016592752
"ENSG00000276043.4",11560.0554464349,-2.14434398925056,0.247042064966199,-8.68007636490554,3.95503182015353e-18,9.17308035926757e-16
"ENSG00000129355.6",1144.24321444478,-1.54023394050594,0.555927521598231,-2.77056609120184,0.00559589424391356,0.0459226866374067
"ENSG00000161888.11",9116.04875628768,-2.6756010224852,0.273781299293078,-9.77276764115659,1.47370222094181e-22,7.18963414547747e-20
"ENSG00000105011.8",4476.88781090329,-2.46704537572225,0.863701384975664,-2.85636380656234,0.00428523805329874,0.0378449113471102
"ENSG00000130513.6",12824.1312454331,1.58080685644923,0.197062072053509,8.02187270222141,1.0414504058113e-15,1.69361383234692e-13
"ENSG00000075702.16",14225.7657154843,-2.77794069018452,0.504931046711063,-5.50162385196754,3.76309124542457e-08,1.63313542761555e-06
"ENSG00000187994.13",5149.50759077688,1.59430159291496,0.304181797799061,5.24127874991434,1.59467603060828e-07,6.00039268112925e-06
"ENSG00000216588.8",1083.81406376083,1.54938767564249,0.524375526644142,2.95472919104013,0.00312943613752151,0.0299157178876042
"ENSG00000225950.8",2510.60550889744,1.6031785507928,0.387925176187899,4.13270045153314,3.58525852678427e-05,0.000745944671131527
"ENSG00000142539.9",4043.51882063974,-2.06849184378039,0.346411771057069,-5.97119386985154,2.35523663073202e-09,1.30674070006261e-07
"ENSG00000171848.13",25728.093883489,-2.95889265181985,0.384695390001767,-7.69152095065722,1.45396118327189e-14,1.97794642508949e-12
"ENSG00000115163.14",5146.05416753501,-3.1293412838971,0.2694360586253,-11.6144115968123,3.48177029647264e-31,3.07875538465593e-28
"ENSG00000121152.9",7186.76384920881,-3.02613155261445,0.442071025678054,-6.84535148616205,7.6288327173827e-12,6.7882217160711e-10
"ENSG00000169679.14",14605.6882724953,-3.09467917175247,0.415989560950601,-7.43931930570722,1.01205428895561e-13,1.20323899833143e-11
"ENSG00000144152.12",891.713472240915,-1.57380682757311,0.554770474853812,-2.8368611865796,0.00455594150699799,0.0395202087314577
"ENSG00000169607.12",4451.63693034951,-3.36593053293161,0.378100791939557,-8.90220439810579,5.4748330536641e-19,1.51878309888705e-16
"ENSG00000152253.8",1653.98733011532,-2.04892518690543,0.519507948439403,-3.94397274009065,8.01427721896793e-05,0.00149783347548161
"ENSG00000163535.17",7268.8874544432,-1.67564782615891,0.197236077591619,-8.49564565783127,1.96835638115252e-17,4.09533912949205e-15
